	gene	CAI
118	TTHERM_00633020	0.3811555030094227
119	TTHERM_00632830	0.4116156252409528
120	TTHERM_00635680	0.5676683760702068
121	TTHERM_00633350	0.36253842871925124
122	TTHERM_00633400	0.4056819344633194
123	TTHERM_00633200	0.3762159265595404
124	TTHERM_000632871	0.4090872658199224
125	TTHERM_00635690	0.37886959420517274
126	TTHERM_000633271	0.43001178413303254
127	TTHERM_00632820	0.3896002304722778
128	TTHERM_00633000	0.3863802589728621
129	TTHERM_00634670	0.40927618840361835
130	TTHERM_00633610	0.47423766771291376
131	TTHERM_00633010	0.41988987798178656
132	TTHERM_02242830	0.4213439544829717
133	TTHERM_00812920	0.3606167059619118
134	TTHERM_000810573	0.39193081016916603
135	TTHERM_00812930	0.38030246857889105
136	TTHERM_00813020	0.3826691299142071
137	TTHERM_00812750	0.3168921847344605
138	TTHERM_00812960	0.40830938324686517
139	TTHERM_00812770	0.38036241904636
140	TTHERM_00813050	0.4156760883266654
141	TTHERM_000812601	0.31973868524322674
142	TTHERM_00810450	0.42043648812624523
143	TTHERM_00810460	0.42132649829914415
144	TTHERM_000812649	0.321097033539803
145	TTHERM_00812950	0.5833820156582933
146	TTHERM_00812660	0.4695076596270445
147	TTHERM_00812820	0.3845124242789103
148	TTHERM_00812640	0.36101307295180046
149	TTHERM_00812670	0.39803589578131204
150	TTHERM_000812999	0.16564614818167073
151	TTHERM_000813089	0.34673224097012156
152	TTHERM_00813000	0.4731036442010048
153	TTHERM_00814090	0.3597805630580274
154	TTHERM_00813090	0.4064726099826687
155	TTHERM_000810481	0.33987636282690303
156	TTHERM_00813040	0.7099371825534284
157	TTHERM_000810475	0.3443705689381023
158	TTHERM_00812760	0.3499003193745215
159	TTHERM_000812729	0.4539043056713441
160	TTHERM_00810530	0.44186785733861933
161	TTHERM_000810551	0.39164795709242206
162	TTHERM_00812600	0.42465004829403213
163	TTHERM_000812918	0.41286445494282353
164	TTHERM_00812940	0.3735917005848291
165	TTHERM_00810470	0.3769725324091376
166	TTHERM_00810500	0.41415962506675535
167	TTHERM_00812740	0.3722484792118653
168	TTHERM_00812890	0.5070901438153574
169	TTHERM_000812939	0.4013106651607356
170	TTHERM_00812900	0.39676482498495114
171	TTHERM_00812650	0.44359178371926583
172	TTHERM_000810540	0.39362002554711784
173	TTHERM_00812910	0.4472074360712901
174	TTHERM_000810562	0.4189876063486968
