Organism	Taxon	#UTR	Observed	Expected	ProbabilityOfStop
Chondrus crispus	Other Eukaryotes (Standard Code)	9676	2087	2589.468537186428	0.05058451676093998
Cyanidioschyzon merolae	Other Eukaryotes (Standard Code)	4803	724	1043.984715250777	0.04002427566315562
Galdieria sulphuraria	Other Eukaryotes (Standard Code)	6413	1901	2458.369272086546	0.07741274787162078
Porphyra umbilicalis	Other Eukaryotes (Standard Code)	12445	1267	1625.2310839179736	0.023054101196303377
Arabidopsis thaliana	Other Eukaryotes (Standard Code)	27517	8675	9881.044942995732	0.07146206802452153
Brassica oleracea	Other Eukaryotes (Standard Code)	43473	12961	15378.363986922166	0.07017625391800802
Chlamydomonas reinhardtii 	Other Eukaryotes (Standard Code)	10763	1978	1956.163912470768	0.03287837228958286
Glycine max	Other Eukaryotes (Standard Code)	47347	14529	16825.775489831238	0.07056665849178854
Micractinium conductrix	Other Eukaryotes (Standard Code)	9976	949	1093.5222314850175	0.019164262185771747
Ostreococcus sp. 'lucimarinus'	Other Eukaryotes (Standard Code)	6195	1568	1569.292624583407	0.04751939554225389
Phaseolus vulgaris	Other Eukaryotes (Standard Code)	25473	7582	8833.066670330576	0.06850917605073167
Physcomitrella patens	Other Eukaryotes (Standard Code)	30264	7444	9746.973930610688	0.06273007787203264
Tetrabaena socialis	Other Eukaryotes (Standard Code)	10639	1367	1580.367648763774	0.026445420079147006
Volvox carteri	Other Eukaryotes (Standard Code)	12317	2590	2923.5215692295947	0.04415622342044467
Amanita muscaria	Other Eukaryotes (Standard Code)	15650	4165	4622.724974396651	0.056680141039115006
Candida albicans	Other Eukaryotes (Standard Code)	5987	2370	2615.484695158954	0.09126766933289013
Coccidioides posadasii	Other Eukaryotes (Standard Code)	7223	1833	2130.551392855216	0.05658775978993281
Cryptococcus neoformans	Other Eukaryotes (Standard Code)	6952	2125	2375.4536343599125	0.06730850360964315
Fusarium oxysporum	Other Eukaryotes (Standard Code)	20811	5912	6562.770579272677	0.06118938449369497
Kwoniella heveanensis	Other Eukaryotes (Standard Code)	7910	1966	2087.7442057200515	0.04979101427028271
Postia placenta	Other Eukaryotes (Standard Code)	11034	2324	2695.611949438129	0.04561225557515477
Puccinia triticina	Other Eukaryotes (Standard Code)	13455	2536	3190.8578120779125	0.04411313722830745
Saccharomyces cerevisiae	Other Eukaryotes (Standard Code)	6003	1985	2240.5527748968475	0.07491065487264507
Schizosaccharomyces pombe	Other Eukaryotes (Standard Code)	5123	1741	1896.8171132894608	0.07417812510463959
Monosiga brevicollis	Other Eukaryotes (Standard Code)	8293	1442	1787.4398129004446	0.03965155177027715
Salpingoeca rosetta	Other Eukaryotes (Standard Code)	11429	1728	2400.74341028475	0.03853692427201371
Anolis carolinensis 	Other Eukaryotes (Standard Code)	16370	3712	4852.179045454969	0.05690898497535454
Apis mellifera	Other Eukaryotes (Standard Code)	9957	3577	4224.1070361506045	0.08790329314012829
Caenorhabditis elegans 	Other Eukaryotes (Standard Code)	21002	6409	7536.315708665051	0.07140153310666206
Daphnia pulex 	Other Eukaryotes (Standard Code)	27051	7387	9218.144939662814	0.06709033468097195
Drosophila melanogaster 	Other Eukaryotes (Standard Code)	13848	3877	4418.662818693354	0.0620442463152206
Fundulus heteroclitus	Other Eukaryotes (Standard Code)	20355	4030	5032.4156248122345	0.04623037808820746
Homo sapiens	Other Eukaryotes (Standard Code)	18819	3651	4441.370860336017	0.04387401249923865
Nothobranchius furzeri	Other Eukaryotes (Standard Code)	20783	4539	5538.604549346083	0.050342516858551206
Tribolium castaneum	Other Eukaryotes (Standard Code)	12691	4521	4931.563672305141	0.07872549052144925
Xenopus tropicalis	Other Eukaryotes (Standard Code)	20026	5012	6090.433475502053	0.058641454310545765
