Organism	Type	1	2	3	4	5	6
Saccharomyces cerevisiae	Other Eukaryotes (Standard Code)	-0.094840323	-0.117187517	0.005599127	-0.177867122	-0.206108672	-0.185841207
Schizosaccharomyces pombe	Other Eukaryotes (Standard Code)	-0.341787543	-0.133036296	0.04874808	0.027583063	-0.033493853	-0.070045455
Monosiga brevicollis	Other Eukaryotes (Standard Code)	-0.47253189	-0.14928071	-0.051663202	-0.201893915	-0.165645354	-0.284978705
Salpingoeca rosetta	Other Eukaryotes (Standard Code)	0.017022394	-0.344689246	-0.38155149	-0.331518817	-0.50122874	-0.628585062
Anolis carolinensis 	Other Eukaryotes (Standard Code)	-0.358393986	-0.263598453	-0.247372365	-0.284399227	-0.230921843	-0.205347127
Apis mellifera	Other Eukaryotes (Standard Code)	-0.176004061	-0.093577356	-0.152742928	-0.159891243	-0.258007769	-0.189783418
Caenorhabditis elegans 	Other Eukaryotes (Standard Code)	-0.283849448	-0.258782218	-0.093205939	-0.120909779	-0.06676514	-0.118169071
Daphnia pulex 	Other Eukaryotes (Standard Code)	-0.243944353	-0.223498605	-0.151101846	-0.253137078	-0.231126359	-0.230934243
Drosophila melanogaster 	Other Eukaryotes (Standard Code)	-0.460722597	-0.026252379	-0.089743771	-0.088398376	-0.013617802	-0.118561402
Fundulus heteroclitus	Other Eukaryotes (Standard Code)	-0.342675525	-0.186246357	-0.261573918	-0.212724494	-0.185284911	-0.13178844
Homo sapiens	Other Eukaryotes (Standard Code)	-0.280038804	-0.153652311	-0.201588971	-0.206567587	-0.173698715	-0.153267151
Nothobranchius furzeri	Other Eukaryotes (Standard Code)	-0.309195597	-0.1619948	-0.258003792	-0.235579526	-0.138369091	-0.077312835
Tribolium castaneum	Other Eukaryotes (Standard Code)	-0.208592025	-0.179771878	-0.058253888	-0.022300596	0.03986783	-0.054333756
Xenopus tropicalis	Other Eukaryotes (Standard Code)	-0.245187165	-0.166426625	-0.235870521	-0.165754029	-0.135906267	-0.215237024
